"barcode"	"plateRow"	"plateColumn"	"Plate ID"	"ValidObjectCount"
"100708TL_HEK_Traf_Test2"	4	4	525	1180.0
"100708TL_HEK_Traf_Test2"	4	5	525	1193.0
"100708TL_HEK_Traf_Test2"	4	6	525	2349.0
"100708TL_HEK_Traf_Test2"	4	7	525	1525.0
"100708TL_HEK_Traf_Test2"	4	8	525	1296.0
"100708TL_HEK_Traf_Test2"	4	9	525	971.0
"100708TL_HEK_Traf_Test2"	4	10	525	1108.0
"100708TL_HEK_Traf_Test2"	4	11	525	204.0
"100708TL_HEK_Traf_Test2"	4	12	525	315.0
"100708TL_HEK_Traf_Test2"	4	13	525	275.0
"100708TL_HEK_Traf_Test2"	4	14	525	454.0
"100708TL_HEK_Traf_Test2"	4	15	525	186.0
"100708TL_HEK_Traf_Test2"	4	16	525	670.0
"100708TL_HEK_Traf_Test2"	4	17	525	165.0
"100708TL_HEK_Traf_Test2"	4	18	525	221.0
"100708TL_HEK_Traf_Test2"	4	19	525	
"100708TL_HEK_Traf_Test2"	4	20	525	
"100708TL_HEK_Traf_Test2"	4	21	525	
"100708TL_HEK_Traf_Test2"	4	22	525	
